category	latitude	longitude
R	40.914178	-73.784489
ST	40.988994	-73.807325
ST	40.908539	-73.781627
V	40.917382	-73.789598
SR	40.891614	-73.817632
K	40.981772	-73.776535
ST	41.009638	-73.809082
SR	40.90909	-73.795682
K	40.912832	-73.808675
ST	40.914575	-73.773132
X	40.927049	-73.789622
ST	40.902224	-73.791837
ST	40.932225	-73.763342
CC	40.948117	-73.79275
SR	40.905671	-73.788256
ST	40.991344	-73.822903
ST	40.935141	-73.747031
SR	40.97693	-73.803942
M	40.906298	-73.79393
ST	40.960285	-73.784301
CC	40.991444	-73.806707
R	40.931549	-73.760425
SR	40.909775	-73.783455
ST	40.930407	-73.762081
ST	40.932921	-73.759461
